,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
7909,PAULA JARA QUEMADA,7.0,2002
3665,ESCUELA BASICA MARIA QUITERIA RAMIREZ,6.9,2002
3283,ESCUELA AGUA SANTA,6.8999999999999995,2002
7044,LICEO INMACULADA DE LOURDES,6.833333333333333,2002
3115,ESCUELA  JAIÃA,6.82,2002
1370,COLEGIO NIMARA,6.78421052631579,2002
5630,"ESCUELA RURAL ""PIERNA DEL RIO""",6.766666666666667,2002
5850,ESCUELA RURAL SENO OBSTRUCCION,6.766666666666667,2002
3724,ESCUELA BASICA PARTICULAR BLANCA DREYSE,6.766666666666667,2002
3581,ESCUELA BASICA HUINCA,6.730769230769231,2002
5518,"ESCUELA RURAL ""LOS SAUCES""",6.714285714285714,2002
2471,ESC. DE ORIOM,6.672727272727273,2002
4448,ESCUELA MINERAL DE TALCA,6.65,2002
802,"COLEGIO "" SAN SEBASTIAN DE AKIVI """,6.645945945945946,2002
4036,ESCUELA EL BUDI,6.642857142857143,2002
5891,ESCUELA SAN SANTIAGO DE MACAYA,6.640000000000001,2002
4177,ESCUELA G-714 ULMEN,6.627272727272728,2002
514,CENTRO DE LENG. MARCELA PAZ,6.627272727272728,2002
1273,COLEGIO LA PRADERA DE CURACAVI,6.607936507936508,2002
1443,COLEGIO PARTICULAR ARANDA,6.590909090909091,2002
3282,ESCUELA AGUA FRESCA,6.588888888888889,2002
5124,"ESCUELA RURAL ""CAULIN ALTO""",6.5875,2002
3299,ESCUELA ALMENDRO DE QUILE,6.581818181818182,2002
2307,ESC. BAS. PUKARA,6.575,2002
2033,EL PILME,6.573333333333333,2002
3909,ESCUELA CHAPIQUIÃA,6.55,2002
4405,ESCUELA LUMAHUE,6.540000000000001,2002
4394,ESCUELA LOS TOMES,6.533333333333333,2002
5260,"ESCUELA RURAL ""EL ESPOLON""",6.527777777777778,2002
6634,LARQUI,6.527272727272727,2002
4136,ESCUELA FABRICIANO MILATEGUA PEREZ,6.525,2002
3270,ESCUELA 18 DE SEPTIEMBRE,6.5200000000000005,2002
6166,HANSEL Y GRETEL,6.508333333333333,2002
4000,ESCUELA DE VADO DE MORRILLOS,6.5,2002
4950,ESCUELA QUEBRADA DE CARCAMO,6.5,2002
4415,ESCUELA MANCHURIA,6.5,2002
3601,ESCUELA BASICA JOSE RAFAEL SALINAS,6.5,2002
238,AURORA,6.491666666666667,2002
7932,PEQUENO MOZART,6.489285714285714,2002
700,COILACO BAJO,6.478571428571429,2002
5025,ESCUELA RURAL  SOBERANIA,6.477777777777778,2002
660,CHILLANCITO,6.475,2002
2211,ESC. BAS. CAMAR,6.471428571428571,2002
5482,"ESCUELA RURAL ""LONCOPAN BAJO""",6.471428571428571,2002
4632,"ESCUELA PARTICULAR ""RUBEN BASTIDAS""",6.466666666666667,2002
3625,ESCUELA BASICA LA QUEBRADA,6.466666666666666,2002
5289,"ESCUELA RURAL ""EL TALLO""",6.466666666666666,2002
2282,ESC. BAS. LOS TILOS DE HUALCAPO,6.465909090909091,2002
1058,COLEGIO DE LA COSTA,6.4639999999999995,2002
1124,COLEGIO ELIPSIS,6.463636363636363,2002
5251,"ESCUELA RURAL ""EDUVIGIS SCHLZ DE MOHR""",6.461904761904761,2002
3788,ESCUELA BASICA RURAL SAN JOSE,6.459999999999999,2002
4055,ESCUELA EL ESFUERZO,6.458333333333333,2002
2204,ESC. BAS. ANDINA,6.457142857142857,2002
5919,ESCUELA SERGIO FERNANDERZ LARRAIN,6.455555555555556,2002
3081,ESCUELA    LAONZANA,6.45,2002
5094,"ESCUELA RURAL ""CALLE""",6.45,2002
593,CENTRO EDUCACIONAL VYGOTSKY      Y F.C.,6.4447368421052635,2002
2747,ESC. MARÃA INÃS MAROMILLAS,6.444444444444445,2002
6057,FLORENCE NIGHTINGALE,6.443076923076923,2002
4659,ESCUELA PARTICULAR LUCERO,6.4363636363636365,2002
3473,ESCUELA BASICA EL ASILO,6.435294117647059,2002
6552,KINDERLAND,6.4312499999999995,2002
4922,ESCUELA POSESION,6.429310344827586,2002
7490,LOS GUINDOS,6.429032258064517,2002
1685,COLEGIO TANTEHUE,6.428,2002
196,ARAUCARIA SCHOOL,6.426027397260274,2002
1814,COMPLEJO EDUCACIONAL SAN CRESCENTE,6.418367346938775,2002
1458,COLEGIO PARTICULAR MONTESSORI,6.413992762364294,2002
1440,COLEGIO PARTICULAR AMERICAN BRITISH COLL,6.412107623318386,2002
7449,LOS ALERCES,6.4117187499999995,2002
3746,ESCUELA BASICA PARTICUÃAR HIGHLANDS,6.406451612903226,2002
6129,GIORDANO BRUNO,6.404147465437788,2002
3148,ESCUELA  VALLE DE COBIJA,6.4,2002
7978,PODUCO BAJO,6.3999999999999995,2002
4267,ESCUELA JOSE DOLORES ARELLANO,6.3999999999999995,2002
1010,COLEGIO CONDORIACO,6.3999999999999995,2002
6040,FARMLAND,6.395454545454545,2002
8664,TAUCU,6.394444444444445,2002
6132,GOLDEN SCHOOL DE CHIGUAYANTE,6.391397849462366,2002
8448,SAN MIGUEL DE TRAHUE,6.388888888888889,2002
6133,GOMERO,6.3875,2002
2853,ESC. PRÃSPERO GONZÃLEZ CIENFUEGOS,6.375,2002
6675,LAS MELOSAS G-637,6.372727272727272,2002
3847,ESCUELA BUENAVENTURA,6.372222222222223,2002
3874,ESCUELA CAPITAN IGNACIO CARRERA PINTO,6.371428571428572,2002
5900,ESCUELA SANTA CRUZ DE CHICUREO,6.37,2002
6089,FRINGS COLLEGE,6.36909090909091,2002
8128,RADALCO,6.366666666666667,2002
5622,"ESCUELA RURAL ""PICHILCURA""",6.366666666666667,2002
6221,HUEFEL-COMUY,6.366666666666667,2002
6636,LAS ACHIRAS,6.362857142857142,2002
2507,ESC. EL FUERTE,6.361111111111111,2002
3540,ESCUELA BASICA G-23,6.359999999999999,2002
3742,ESCUELA BASICA PARTICULAR SAN PABLO,6.359090909090909,2002
2985,ESC. VILLA COBÃN,6.357142857142857,2002
4934,ESCUELA PUERTO HARRIS,6.356338028169014,2002
1149,COLEGIO FRANCISCO DE AGUIRRE,6.355882352941176,2002
4295,ESCUELA LA COLORADA,6.355555555555556,2002
8321,SAINT PAUL'S SCHOOL,6.35363321799308,2002
1095,COLEGIO EDWARD,6.350660792951541,2002
5161,"ESCUELA RURAL ""CHULCHUY""",6.3500000000000005,2002
7591,MANIO DUCANAN,6.346153846153846,2002
4545,ESCUELA PALMILLA DE RETO,6.346153846153846,2002
5267,"ESCUELA RURAL ""EL JARDIN DE OLMOPULLI""",6.345454545454545,2002
6408,INSTITUTO SANTA MARTA,6.345202220459953,2002
5419,"ESCUELA RURAL ""LA ESPERANZA""",6.344444444444445,2002
5, COLEGIO SAINT JOSEPH SCHOOL,6.344444444444445,2002
5269,"ESCUELA RURAL ""EL LIMITE""",6.343333333333334,2002
4317,ESCUELA LA VILLA,6.3428571428571425,2002
8104,QUILIMANZANO,6.3428571428571425,2002
894,COLEGIO AMBROSIO O HIGGINS,6.339852398523985,2002
5789,"ESCUELA RURAL ""TACAMO BAJO""",6.3375,2002
1700,COLEGIO TONGOY,6.336363636363637,2002
8809,VILLA AYSEN,6.335869565217391,2002
5844,ESCUELA RURAL FUTURO,6.333333333333333,2002
6228,HUENOCOLLE,6.3307692307692305,2002
4195,ESCUELA GUALBERTO KONG FERNANDEZ,6.330575539568346,2002
3745,ESCUELA BASICA PARTICULAR TREBULCO,6.329032258064516,2002
1326,COLEGIO MANSO DE VELASCO,6.32887323943662,2002
2029,EL PEQUENO ESTUDIANTE,6.3287009063444115,2002
4142,ESCUELA FILULAFQUEN,6.328571428571429,2002
8759,TURQUIA,6.325,2002
5783,"ESCUELA RURAL ""SIETE COLINAS""",6.325,2002
5989,ESCUELA VILLA LAS ESTRELLAS,6.322222222222222,2002
4584,"ESCUELA PARTICULAR ""DOLLINCO""",6.322222222222222,2002
205,ARMANDO DUFEY BLANC,6.316949152542373,2002
4876,"ESCUELA PARTICULAR NÂº96 ""COTRILLA CHICO""",6.316666666666666,2002
3856,ESCUELA CALETA EL MAITEN,6.316666666666666,2002
2113,ESC  BAS  PADRE A  HURTADO ANEXO,6.314285714285715,2002
3144,ESCUELA  SAN SANTIAGO DE BELEN,6.314285714285715,2002
6061,FOLO MAPU,6.311111111111112,2002
3614,ESCUELA BASICA LA FLORESTA,6.311111111111111,2002
3539,ESCUELA BASICA G-22,6.309523809523809,2002
2228,ESC. BAS. EDDA CUNEO DONAGGIO,6.3014440433212995,2002
4380,ESCUELA LOS MAITENES DE SAMO ALTO,6.300000000000001,2002
4370,ESCUELA LOS CIENAGOS,6.300000000000001,2002
5654,"ESCUELA RURAL ""PUERTO RAMIREZ""",6.300000000000001,2002
5930,ESCUELA STA. PAULA,6.3,2002
2281,ESC. BAS. LOS HORNOS DE HUAQUEN,6.3,2002
3784,ESCUELA BASICA ROSARIO ARRIBA,6.3,2002
6111,GENERAL BAQUEDANO,6.3,2002
5592,"ESCUELA RURAL ""PAJARITOS""",6.3,2002
5126,"ESCUELA RURAL ""CAYUCAN""",6.3,2002
4143,ESCUELA FLOR DE LOS ANDES,6.3,2002
2046,EL RETIRO,6.3,2002
4458,ESCUELA MUNDO MAGICO,6.299052132701421,2002
2911,ESC. SAN ALFONSO - CANELILLO,6.295,2002
3411,ESCUELA BASICA BUCALEMITO,6.294444444444444,2002
8078,QUEBRADA DE ULLOA,6.294444444444444,2002
4623,"ESCUELA PARTICULAR ""PABLO NERUDA""",6.2942857142857145,2002
4890,ESCUELA PATRICIA,6.291071428571429,2002
2278,ESC. BAS. LIDIA MORENO,6.290116279069767,2002
4310,ESCUELA LA PATAGUILLA,6.288888888888889,2002
1368,COLEGIO NEHUEN,6.288450704225353,2002
4937,ESCUELA PULIL,6.286666666666666,2002
5722,"ESCUELA RURAL ""RIO AZUL""",6.285714285714286,2002
8397,SAN IGNACIO EL BOSQUE,6.284296977660973,2002
8743,TREWHELA'S ENGLISH SCHOOL,6.2839918946301925,2002
8086,QUERUBIN SCHOOL,6.281818181818181,2002
6687,LAS ROSAS DE DICAHUE,6.278571428571429,2002
3179,"ESCUELA ""CARLOS SPRINGER NIKLITSCHEK""",6.277777777777778,2002
1584,COLEGIO SAN CARLOS,6.277575757575757,2002
6035,FABIAN DE LA FUENTE,6.276923076923077,2002
8699,THE LITTLE SCHOOL,6.274747474747476,2002
6193,HISPANO BRITANICO,6.271105826397147,2002
1197,COLEGIO INGLES ALTAZOR,6.270238095238096,2002
5181,"ESCUELA RURAL ""COLLILELFU""",6.269230769230769,2002
1219,COLEGIO INTERNACIONAL ALBA,6.26843137254902,2002
3104,ESCUELA  COTA COTANI,6.266666666666667,2002
4571,"ESCUELA PARTICULAR ""ALLA MAPU""",6.266666666666667,2002
1599,COLEGIO SAN GABRIEL ARCANGEL,6.266460905349795,2002
4982,ESCUELA REINO DE DINAMARCA,6.265263157894737,2002
1265,COLEGIO LA CRUZ,6.264723926380368,2002
8452,SAN NICOLAS DE MAIPU,6.264150943396227,2002
7928,PENA DE SANTA ROSA,6.2625,2002
8247,RIO BLANCO,6.26,2002
715,COL  LICANCABUR,6.259090909090909,2002
4886,ESCUELA PARTICULAR WINDSOR SCHOOL,6.257777777777778,2002
5885,ESCUELA SAN PEDRO DE ALCANTARA,6.257303370786516,2002
6539,JUNIOR COLLEGE,6.256885245901639,2002
5692,"ESCUELA RURAL ""QUILDACO BAJO""",6.254545454545454,2002
760,COL. THE ANTOFAGASTA BRITISH SCHOOL,6.252941176470588,2002
8245,RINCONADA DE COLTON,6.252941176470588,2002
1572,COLEGIO SAN  ANSELMO,6.252686567164179,2002
4902,ESCUELA PEHUEN,6.25040650406504,2002
3103,ESCUELA  COLPITAS,6.25,2002
1293,COLEGIO LICARAYEN,6.25,2002
3673,ESCUELA BASICA MINILLAS,6.25,2002
3896,ESCUELA CERRO GUIDO,6.25,2002
5925,ESCUELA SOL DE LAS PRADERAS,6.25,2002
1401,COLEGIO PADRE HUGO BYRNE,6.247826086956521,2002
4663,ESCUELA PARTICULAR N.7 ALBERTO PEREZ,6.2477867203219315,2002
1845,CORONEY,6.246428571428572,2002
2998,ESC.BAS. ELISA RUIZ-TAGLE FERNANDEZ,6.246153846153846,2002
5222,"ESCUELA RURAL ""CUMBRE DE LECAM""",6.246153846153846,2002
3782,ESCUELA BASICA ROBERTO LORCA,6.2457242582897035,2002
6670,LAS LOICAS,6.2444444444444445,2002
5926,ESCUELA SOL DEL CUYANO,6.242857142857143,2002
3415,ESCUELA BASICA CAMPANARIO,6.242608695652174,2002
7043,LICEO INMACULADA CONCEPCIÃN,6.24237668161435,2002
8792,VERDOYHAM SCHOOL,6.241911764705883,2002
2793,ESC. PARROQUIAL PRESIDENTE MANUEL MONTT,6.241463414634147,2002
1945,DRGUILLERMO VELASCO BARROS,6.240455840455841,2002
6093,FUNDACION CHAMINADE,6.240036900369003,2002
3578,ESCUELA BASICA HOSP. SAN BORJA ARRIARAN,6.24,2002
2667,ESC. LA QUEBRADA DE PICHAMÃN,6.24,2002
7394,LIUMALLA,6.239999999999999,2002
1, ABRAHAM LINCOLN  SCHOOL,6.239970717423133,2002
1259,"COLEGIO KID""S WORLD SCHOOL",6.238755980861244,2002
8532,SANTA LAURA DE RARINCO,6.238461538461538,2002
4778,"ESCUELA PARTICULAR NÂº240 ""LA HUACHA""",6.238461538461538,2002
6689,LAS VEGAS DE RARINCO,6.2375,2002
5990,ESCUELA VILLA LAS NIEVES,6.235250463821893,2002
6402,INSTITUTO SAN PABLO MISIONERO,6.234269662921348,2002
1294,COLEGIO LIRIMA,6.2335714285714285,2002
1169,COLEGIO GHERARDELLI,6.233333333333333,2002
4655,ESCUELA PARTICULAR HOLANDA,6.231914893617022,2002
3770,ESCUELA BASICA QUEBRADILLA,6.23125,2002
4787,"ESCUELA PARTICULAR NÂº258 ""NANCULEN""",6.230769230769231,2002
3978,ESCUELA DE CANELILLA,6.2299999999999995,2002
5068,"ESCUELA RURAL ""AULIN""",6.229411764705882,2002
