ROL_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
771,ESCUELA EL ARRAYAN,6.833333333333333,2006
8486,ESCUELA VILLA LAS ESTRELLAS,6.828571428571428,2006
11194,ESCUELA BASICA HUINCA,6.7555555555555555,2006
14848,ESCUELA PARTICULAR ANNY SCHOOL,6.707692307692308,2006
10974,ESC ESP NUEVA LUZ  A  MARTINETTI TAPIA,6.7,2006
5991,RIO BLANCO,6.699999999999999,2006
752,ESCUELA VALLE HERMOSO,6.677777777777778,2006
12688,ESCUELA BASICA GOLDEN NORTH,6.665000000000001,2006
17640,EL PILME,6.655555555555555,2006
86,ESCUELA  SAN SANTIAGO DE BELEN,6.65,2006
10887,ESCUELA VALLE DE CHITITA,6.642857142857143,2006
6221,SAN ROQUE,6.633333333333333,2006
498,ESCUELA ALGARROBILLA,6.62,2006
999,ESCUELA DIECIOCHO DE SEPTIEMBRE,6.62,2006
7987,ESCUELA CARLOS SPRINGER NIKLITSCHEK,6.609999999999999,2006
13603,COLEGIO VIATOR EXCELSIOR,6.6,2006
82,ESCUELA SAN FRANCISCO DE ASIS,6.6,2006
7438,"ESCUELA PARTICULAR N.150 ""SANTA ROSA""",6.6,2006
10897,ESCUELA VALLE DE ILLAPATA,6.6,2006
6854,"ESCUELA RURAL ""PADRE EMILIO TIGGELBECK""",6.6,2006
20194,COLEGIO MI MUNDO SCHOOL,6.591666666666666,2006
4397,DANICALQUI,6.5875,2006
25914,ESCUELA BASICA SAN JORGE DE COLINA,6.576666666666667,2006
963,ESCUELA EL TENIENTE,6.558333333333334,2006
11609,ESCUELA MUNICIPAL MELIMOYU,6.550000000000001,2006
22093,"ESCUELA RURAL ""SAN LUIS""",6.55,2006
8081,"ESCUELA RURAL ""CAYUCAN""",6.538461538461538,2006
819,ESCUELA BUENAVENTURA,6.538461538461538,2006
7681,"ESCUELA RURAL ""RIO CHICO""",6.536363636363637,2006
6969,"ESCUELA PARTICULAR N.30 ""EL FAROL""",6.533333333333334,2006
11783,GIORDANO BRUNO,6.533181818181818,2006
25958,ESCUELA BASICA MIRASOL DE SANTIAGO,6.527118644067797,2006
2667,ESCUELA EUSEBIO ABARCA,6.525,2006
10912,ESCUELA VALLE DE PARCOHAYLLA,6.525,2006
8473,ESCUELA POSESION,6.523076923076923,2006
3088,ESC. VILCHES ALTO,6.522222222222222,2006
7225,"ESCUELA RURAL ""EDUVIGIS SCHULZ DE MOHR""",6.5181818181818185,2006
502,ESCUELA,6.516666666666667,2006
7920,"ESCUELA PARTICULAR N.222 ""GABRIELA MISTR",6.5,2006
8397,TULIO BURGOS RIVERA,6.5,2006
24325,ESCUELA CERRO GUIDO,6.5,2006
6333,HUENQUELELFUN,6.5,2006
6140,NUEVA LONCOTRARO,6.49,2006
6277,LAS QUINIENTAS,6.4875,2006
4017,GRAL. MANUEL BAQUEDANO GONZALEZ,6.484615384615385,2006
4502,TURQUIA,6.483333333333333,2006
4327,VOLCAN ANTUCO,6.477777777777778,2006
3526,ESC. AURELIO MEZA RIVERA,6.476470588235294,2006
6097,CATRICO ALTO,6.475,2006
13555,ESCUELA BASICA EL PALOMO,6.475,2006
8139,"ESCUELA RURAL ""CHENIAO""",6.471428571428571,2006
14683,SCUOLA ITALIANA VIÃA DEL MAR,6.46734693877551,2006
75,ESCUELA VALLE DE GUAÃACAGUA.,6.466666666666666,2006
6009,MOLULCO,6.459999999999999,2006
1876,ESCUELA BASICA LA QUEBRADA,6.457142857142857,2006
2067,ESCUELA BASICA ROSARIO ARRIBA,6.45,2006
7233,"ESCUELA PARTICULAR N.96 ""COTRILLA CHICO""",6.45,2006
7840,"ESCUELA RURAL ""PAULINO VELASQUEZ ALVARAD",6.45,2006
881,ESCUELA BASICA MARIA QUITERIA RAMIREZ,6.45,2006
8163,"ESCUELA RURAL ""CHULLEC""",6.449999999999999,2006
878,ESCUELA BASICA JOSE JOAQUIN VALLEJOS,6.442857142857143,2006
11593,"ESCUELA RURAL ""MARIA ENRIQUETA CHIGUAY C",6.442857142857143,2006
4907,GOMERO,6.44,2006
22041,"CENTRO EDUCACIONAL ""PAZ Y AMOR""",6.436065573770493,2006
5556,ESCUELA SAN CARLITOS,6.433333333333334,2006
4859,CHUPALLAR,6.43,2006
4114,LOS TEMOS,6.425,2006
6402,ESCUELA PULIL,6.425,2006
7087,"ESCUELA RURAL ""PULLINQUE ALTO""",6.425,2006
3222,ESC. CARMEN R. MARTINEZ BAEZA,6.423529411764706,2006
25893,ESCUELA BASICA SAN CRISTOBAL,6.418446601941747,2006
12299,ESC  BAS  ANEXO PICHILEMU,6.411111111111111,2006
939,ESCUELA ALMENDRO DE QUILE,6.4,2006
2815,ESC. EL CULENAR,6.4,2006
